"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.date","sale.price.n","gross.sqft","land.sqft","years.built","cs.pricePERsqft"
"6",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",5406,37,NA," A1 "," 111 ELMBANK STREET ","   "," 10312 ",1,0,1,1," A1 ",42454,520000,1200,2500,1999,433.333333333333
"7",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",5408,7,NA," A2 "," 192 BATHGATE STREET ","   "," 10312 ",1,0,1,1," A2 ",42615,290000,572,2500,1930,506.993006993007
"8",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6205,24,NA," A5 "," 79 EAGAN AVENUE ","   "," 10312 ",1,0,1,1," A5 ",42580,425000,1854,1845,1986,229.234088457389
"9",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6209,69,NA," A5 "," 195 MOSELY AVENUE ","   "," 10312 ",1,0,1,1," A5 ",42695,579000,1592,2665,2007,363.693467336683
"11",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6211,15,NA," A5 "," 17 EAGAN AVENUE ","   "," 10312 ",1,0,1,1," A5 ",42657,370000,1521,1508,1986,243.261012491782
"13",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6212,50,NA," A5 "," 36 LUCY LOOP ","   "," 10312 ",1,0,1,1," A5 ",42496,470000,1500,2870,2000,313.333333333333
"14",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6212,59,NA," A5 "," 91 LORRAINE AVENUE ","   "," 10312 ",1,0,1,1," A5 ",42620,468000,1548,1650,2005,302.325581395349
"15",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6212,154,NA," A1 "," 121 JEANNETTE AVENUE ","   "," 10312 ",1,0,1,1," A1 ",42556,750000,2500,4300,2000,300
"16",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6215,35,NA," A1 "," 124 FABIAN STREET ","   "," 10312 ",1,0,1,1," A1 ",42661,685000,2864,7500,1965,239.175977653631
"17",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6216,33,NA," A5 "," 10 EAGAN AVENUE ","   "," 10312 ",1,0,1,1," A5 ",42517,372500,1515,2333,1994,245.874587458746
"18",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6216,35,NA," A5 "," 14 EAGAN AVENUE ","   "," 10312 ",1,0,1,1," A5 ",42622,413000,1515,1333,1994,272.607260726073
"20",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6219,6,NA," A5 "," 68 LORRAINE AVENUE ","   "," 10312 ",1,0,1,1," A5 ",42748,507500,1700,2584,2004,298.529411764706
"21",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6219,19,NA," A5 "," 59 ENDVIEW STREET ","   "," 10312 ",1,0,1,1," A5 ",42744,529000,1700,1759,2004,311.176470588235
"22",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6219,20,NA," A5 "," 57 ENDVIEW STREET ","   "," 10312 ",1,0,1,1," A5 ",42649,512900,1700,1759,2004,301.705882352941
"23",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6219,22,NA," A5 "," 53 ENDVIEW STREET ","   "," 10312 ",1,0,1,1," A5 ",42551,483000,1700,1759,2004,284.117647058824
"24",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6219,23,NA," A5 "," 51 ENDVIEW STREET ","   "," 10312 ",1,0,1,1," A5 ",42541,477000,1700,1567,2004,280.588235294118
"25",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6220,9,NA," A5 "," 55 BARB STREET ","   "," 10312 ",1,0,1,1," A5 ",42424,490000,1339,2575,2004,365.944734876774
"26",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6220,13,NA," A5 "," 47 BARB STREET ","   "," 10312 ",1,0,1,1," A5 ",42412,450000,1339,1585,2004,336.071695294996
"28",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6220,24,NA," A5 "," 23 BARB STREET ","   "," 10312 ",1,0,1,1," A5 ",42633,500000,1339,2575,2004,373.412994772218
"29",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6220,54,NA," A5 "," 20 ENDVIEW STREET ","   "," 10312 ",1,0,1,1," A5 ",42430,275000,1344,1648,2003,204.613095238095
"31",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6226,93,NA," A2 "," 55 JEFFERSON BOULEVARD ","   "," 10312 ",1,0,1,1," A2 ",42681,442000,1360,3402,1930,325
"32",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6226,136,NA," A1 "," 941 CARLTON BOULEVARD ","   "," 10312 ",1,0,1,1," A1 ",42669,405000,944,4785,1910,429.025423728814
"40",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6230,37,NA," A2 "," 624 DRUMGOOLE ROAD EAST ","   "," 10312 ",1,0,1,1," A2 ",42558,280000,832,8000,1930,336.538461538462
"41",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6232,11,NA," A1 "," 182 RATHBUN AVENUE ","   "," 10312 ",1,0,1,1," A1 ",42499,522500,1630,4000,1960,320.552147239264
"43",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6234,45,NA," A2 "," 578 ARDEN AVENUE ","   "," 10312 ",1,0,1,1," A2 ",42639,490000,1290,4200,1935,379.84496124031
"44",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6235,27,NA," A2 "," 140 SINCLAIR AVENUE ","   "," 10312 ",1,0,1,1," A2 ",42724,400000,1176,4000,1965,340.136054421769
"45",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6236,9,NA," A1 "," 383 JEFFERSON BOULEVARD ","   "," 10312 ",1,0,1,1," A1 ",42573,590000,1165,3960,1940,506.437768240343
"47",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6238,23,NA," A1 "," 240 CROWN AVENUE ","   "," 10312 ",1,0,1,1," A1 ",42517,690000,2870,8000,1975,240.418118466899
"49",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6243,29,NA," A1 "," 26 SHERIDAN PLACE ","   "," 10312 ",1,0,1,1," A1 ",42482,690000,2736,5500,1946,252.19298245614
"50",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6245,166,NA," A1 "," 62 HILLIS STREET ","   "," 10312 ",1,0,1,1," A1 ",42411,555000,2560,4700,1970,216.796875
"52",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6245,210,NA," A2 "," 64 PINE TERRACE ","   "," 10312 ",1,0,1,1," A2 ",42401,695000,2156,6080,1960,322.356215213358
"55",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6249,24,NA," A3 "," 58 TENAFLY PLACE ","   "," 10312 ",1,0,1,1," A3 ",42529,645570,2270,4630,2014,284.392070484581
"56",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6249,155,NA," A1 "," 23 ELY AVENUE ","   "," 10312 ",1,0,1,1," A1 ",42600,660000,1768,4551,1965,373.303167420814
"57",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6249,239,NA," A2 "," 116 NORTH PINE TERRACE ","   "," 10312 ",1,0,1,1," A2 ",42535,550000,2008,4000,1965,273.90438247012
"59",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6249,516,NA," A5 "," 24 EAST TENAFLY AVENUE ","   "," 10312 ",1,0,1,1," A5 ",42709,510000,1834,3900,1975,278.080697928026
"60",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6249,518,NA," A1 "," 20 EAST TENAFLY AVENUE ","   "," 10312 ",1,0,1,1," A1 ",42611,470000,1638,3854,1975,286.935286935287
"62",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6249,700,NA," A1 "," 77 BENNETT AVENUE ","   "," 10312 ",1,0,1,1," A1 ",42494,950000,2144,8322,1986,443.097014925373
"66",5," ANNADALE "," 01 ONE FAMILY DWELLINGS                     "," 1 ",6254,99,NA," A1 "," 75 SOUTH RAILROAD ST ","   "," 10312 ",1,0,1,1," A1 ",42502,95000,1362,2960,1993,69.7503671071953
