Staten Island Rolling Sales File.  All Sales From February 2016 - January 2017.,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sales File as of 2/13/2017  Co-op Sales Files as of 2/11/2017,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Neighborhood Names and Descriptive Data as of 5/26/2016,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Building Class Category is based on Building Class at Time of Sale.,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
BOROUGH, NEIGHBORHOOD , BUILDING CLASS CATEGORY , TAX CLASS AT PRESENT , BLOCK , LOT , EASE-MENT , BUILDING CLASS AT PRESENT , ADDRESS , APARTMENT NUMBER , ZIP CODE , RESIDENTIAL UNITS , COMMERCIAL UNITS , TOTAL UNITS , LAND SQUARE FEET , GROSS SQUARE FEET , YEAR BUILT , TAX CLASS AT TIME OF SALE , BUILDING CLASS AT TIME OF SALE , SALE PRICE , SALE DATE 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 5391 , 9 ,   , A5 , 4726 AMBOY ROAD ,   , 10312 , 1 , 0 , 1 , 3067 , 910 , 2002 , 1 , A5 , 520000 , 42481 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 5391 , 30 ,   , A1 , 1306 ARDEN AVENUE ,   , 10312 , 1 , 0 , 1 , 7500 , 1890 , 1952 , 1 , A1 , 0 , 42494 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 5395 , 15 ,   , A1 , 10 EDWIN STREET ,   , 10312 , 1 , 0 , 1 , 7000 , 2200 , 1980 , 1 , A1 , 10 , 42481 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 5397 , 60 ,   , A1 , 33 EYLANDT STREET ,   , 10312 , 1 , 0 , 1 , 10120 , 3516 , 1984 , 1 , A1 , 0 , 42592 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 5399 , 26 ,   , A1 , 235 KOCH BOULEVARD ,   , 10312 , 1 , 0 , 1 , 9555 , 1528 , 1960 , 1 , A1 , 0 , 42411 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 5406 , 37 ,   , A1 , 111 ELMBANK STREET ,   , 10312 , 1 , 0 , 1 , 2500 , 1200 , 1999 , 1 , A1 , 520000 , 42454 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 5408 , 7 ,   , A2 , 192 BATHGATE STREET ,   , 10312 , 1 , 0 , 1 , 2500 , 572 , 1930 , 1 , A2 , 290000 , 42615 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6205 , 24 ,   , A5 , 79 EAGAN AVENUE ,   , 10312 , 1 , 0 , 1 , 1845 , 1854 , 1986 , 1 , A5 , 425000 , 42580 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6209 , 69 ,   , A5 , 195 MOSELY AVENUE ,   , 10312 , 1 , 0 , 1 , 2665 , 1592 , 2007 , 1 , A5 , 579000 , 42695 
5, ANNADALE , 01 ONE FAMILY DWELLINGS                     , 1 , 6211 , 4 ,   , A5 , 35 EAGAN AVENUE ,   , 10312 , 1 , 0 , 1 , 1508 , 1521 , 1986 , 1 , A5 , 0 , 42576 
